date,cname,measure,count
2020-02-09,Finland,Cases,1
2020-02-09,Finland,Deaths,NA
2020-02-09,Iceland,Cases,NA
2020-02-09,Iceland,Deaths,NA
2020-02-09,Norway,Cases,NA
2020-02-09,Norway,Deaths,NA
2020-02-09,Sweden,Cases,1
2020-02-09,Sweden,Deaths,NA
2020-02-10,Denmark,Cases,NA
2020-02-10,Denmark,Deaths,NA
2020-02-10,Finland,Cases,1
2020-02-10,Finland,Deaths,NA
2020-02-10,Iceland,Cases,NA
2020-02-10,Iceland,Deaths,NA
2020-02-10,Norway,Cases,NA
2020-02-10,Norway,Deaths,NA
2020-02-10,Sweden,Cases,1
2020-02-10,Sweden,Deaths,NA
2020-02-11,Denmark,Cases,NA
2020-02-11,Denmark,Deaths,NA
2020-02-11,Finland,Cases,1
2020-02-11,Finland,Deaths,NA
2020-02-11,Iceland,Cases,NA
2020-02-11,Iceland,Deaths,NA
2020-02-11,Norway,Cases,NA
2020-02-11,Norway,Deaths,NA
2020-02-11,Sweden,Cases,1
2020-02-11,Sweden,Deaths,NA
2020-02-12,Denmark,Cases,NA
2020-02-12,Denmark,Deaths,NA
2020-02-12,Finland,Cases,1
2020-02-12,Finland,Deaths,NA
2020-02-12,Iceland,Cases,NA
2020-02-12,Iceland,Deaths,NA
2020-02-12,Norway,Cases,NA
2020-02-12,Norway,Deaths,NA
2020-02-12,Sweden,Cases,1
2020-02-12,Sweden,Deaths,NA
2020-02-13,Denmark,Cases,NA
2020-02-13,Denmark,Deaths,NA
2020-02-13,Finland,Cases,1
2020-02-13,Finland,Deaths,NA
2020-02-13,Iceland,Cases,NA
2020-02-13,Iceland,Deaths,NA
2020-02-13,Norway,Cases,NA
2020-02-13,Norway,Deaths,NA
2020-02-13,Sweden,Cases,1
2020-02-13,Sweden,Deaths,NA
2020-02-14,Denmark,Cases,NA
2020-02-14,Denmark,Deaths,NA
2020-02-14,Finland,Cases,1
2020-02-14,Finland,Deaths,NA
2020-02-14,Iceland,Cases,NA
2020-02-14,Iceland,Deaths,NA
2020-02-14,Norway,Cases,NA
2020-02-14,Norway,Deaths,NA
2020-02-14,Sweden,Cases,1
2020-02-14,Sweden,Deaths,NA
2020-02-15,Denmark,Cases,NA
2020-02-15,Denmark,Deaths,NA
2020-02-15,Finland,Cases,1
2020-02-15,Finland,Deaths,NA
2020-02-15,Iceland,Cases,NA
2020-02-15,Iceland,Deaths,NA
2020-02-15,Norway,Cases,NA
2020-02-15,Norway,Deaths,NA
2020-02-15,Sweden,Cases,1
2020-02-15,Sweden,Deaths,NA
2020-02-16,Denmark,Cases,NA
2020-02-16,Denmark,Deaths,NA
2020-02-16,Finland,Cases,1
2020-02-16,Finland,Deaths,NA
2020-02-16,Iceland,Cases,NA
2020-02-16,Iceland,Deaths,NA
2020-02-16,Norway,Cases,NA
2020-02-16,Norway,Deaths,NA
2020-02-16,Sweden,Cases,1
2020-02-16,Sweden,Deaths,NA
2020-02-17,Denmark,Cases,NA
2020-02-17,Denmark,Deaths,NA
2020-02-17,Finland,Cases,1
2020-02-17,Finland,Deaths,NA
2020-02-17,Iceland,Cases,NA
2020-02-17,Iceland,Deaths,NA
2020-02-17,Norway,Cases,NA
2020-02-17,Norway,Deaths,NA
2020-02-17,Sweden,Cases,1
2020-02-17,Sweden,Deaths,NA
2020-02-18,Denmark,Cases,NA
2020-02-18,Denmark,Deaths,NA
2020-02-18,Finland,Cases,1
2020-02-18,Finland,Deaths,NA
2020-02-18,Iceland,Cases,NA
2020-02-18,Iceland,Deaths,NA
2020-02-18,Norway,Cases,NA
2020-02-18,Norway,Deaths,NA
2020-02-18,Sweden,Cases,1
2020-02-18,Sweden,Deaths,NA
2020-02-19,Denmark,Cases,NA
2020-02-19,Denmark,Deaths,NA
2020-02-19,Finland,Cases,1
2020-02-19,Finland,Deaths,NA
2020-02-19,Iceland,Cases,NA
2020-02-19,Iceland,Deaths,NA
2020-02-19,Norway,Cases,NA
2020-02-19,Norway,Deaths,NA
2020-02-19,Sweden,Cases,1
2020-02-19,Sweden,Deaths,NA
2020-02-20,Denmark,Cases,NA
2020-02-20,Denmark,Deaths,NA
2020-02-20,Finland,Cases,1
2020-02-20,Finland,Deaths,NA
2020-02-20,Iceland,Cases,NA
2020-02-20,Iceland,Deaths,NA
2020-02-20,Norway,Cases,NA
2020-02-20,Norway,Deaths,NA
2020-02-20,Sweden,Cases,1
2020-02-20,Sweden,Deaths,NA
2020-02-21,Denmark,Cases,NA
2020-02-21,Denmark,Deaths,NA
2020-02-21,Finland,Cases,1
2020-02-21,Finland,Deaths,NA
2020-02-21,Iceland,Cases,NA
2020-02-21,Iceland,Deaths,NA
2020-02-21,Norway,Cases,NA
2020-02-21,Norway,Deaths,NA
2020-02-21,Sweden,Cases,1
2020-02-21,Sweden,Deaths,NA
2020-02-22,Denmark,Cases,NA
2020-02-22,Denmark,Deaths,NA
2020-02-22,Finland,Cases,1
2020-02-22,Finland,Deaths,NA
2020-02-22,Iceland,Cases,NA
2020-02-22,Iceland,Deaths,NA
2020-02-22,Norway,Cases,NA
2020-02-22,Norway,Deaths,NA
2020-02-22,Sweden,Cases,1
2020-02-22,Sweden,Deaths,NA
2020-02-23,Denmark,Cases,NA
2020-02-23,Denmark,Deaths,NA
2020-02-23,Finland,Cases,1
2020-02-23,Finland,Deaths,NA
2020-02-23,Iceland,Cases,NA
2020-02-23,Iceland,Deaths,NA
2020-02-23,Norway,Cases,NA
2020-02-23,Norway,Deaths,NA
2020-02-23,Sweden,Cases,1
2020-02-23,Sweden,Deaths,NA
2020-02-24,Denmark,Cases,NA
2020-02-24,Denmark,Deaths,NA
2020-02-24,Finland,Cases,1
2020-02-24,Finland,Deaths,NA
2020-02-24,Iceland,Cases,NA
2020-02-24,Iceland,Deaths,NA
2020-02-24,Norway,Cases,NA
2020-02-24,Norway,Deaths,NA
2020-02-24,Sweden,Cases,1
2020-02-24,Sweden,Deaths,NA
2020-02-25,Denmark,Cases,NA
2020-02-25,Denmark,Deaths,NA
2020-02-25,Finland,Cases,1
2020-02-25,Finland,Deaths,NA
2020-02-25,Iceland,Cases,NA
2020-02-25,Iceland,Deaths,NA
2020-02-25,Norway,Cases,NA
2020-02-25,Norway,Deaths,NA
2020-02-25,Sweden,Cases,1
2020-02-25,Sweden,Deaths,NA
2020-02-26,Denmark,Cases,NA
2020-02-26,Denmark,Deaths,NA
2020-02-26,Finland,Cases,1
2020-02-26,Finland,Deaths,NA
2020-02-26,Iceland,Cases,NA
2020-02-26,Iceland,Deaths,NA
2020-02-26,Norway,Cases,NA
2020-02-26,Norway,Deaths,NA
2020-02-26,Sweden,Cases,1
2020-02-26,Sweden,Deaths,NA
2020-02-27,Denmark,Cases,1
2020-02-27,Denmark,Deaths,NA
2020-02-27,Finland,Cases,2
2020-02-27,Finland,Deaths,NA
2020-02-27,Iceland,Cases,NA
2020-02-27,Iceland,Deaths,NA
2020-02-27,Norway,Cases,1
2020-02-27,Norway,Deaths,NA
2020-02-27,Sweden,Cases,2
2020-02-27,Sweden,Deaths,NA
2020-02-28,Denmark,Cases,1
2020-02-28,Denmark,Deaths,NA
2020-02-28,Finland,Cases,2
2020-02-28,Finland,Deaths,NA
2020-02-28,Iceland,Cases,NA
