"","date","cname","iso3","records.cases","records.deaths","cu_cases","cu_deaths","days_elapsed","end_label"
"244",2020-03-21,"United Kingdom","GBR",706,33,3983,177,8,NA
"245",2020-03-21,"USA","USA",5374,110,19624,260,16,NA
"246",2020-03-22,"Algeria","DZA",0,0,94,10,1,NA
"247",2020-03-22,"Belgium","BEL",558,30,2815,67,3,NA
"248",2020-03-22,"Brazil","BRA",224,7,1128,18,1,NA
"249",2020-03-22,"Canada","CAN",331,6,1302,18,2,NA
"250",2020-03-22,"China","CHN",65,6,81346,3265,60,NA
"251",2020-03-22,"Denmark","DNK",71,4,1326,13,0,NA
"252",2020-03-22,"France","FRA",1847,112,14459,562,14,NA
"253",2020-03-22,"Germany","DEU",3276,22,21463,67,6,NA
"254",2020-03-22,"Greece","GRC",35,5,530,13,0,NA
"255",2020-03-22,"Indonesia","IDN",141,13,450,38,2,NA
"256",2020-03-22,"Iran, Islamic Republic of","IRN",966,123,20610,1556,26,NA
"257",2020-03-22,"Iraq","IRQ",21,3,214,17,4,NA
"258",2020-03-22,"Italy","ITA",6557,795,53578,4827,25,NA
"259",2020-03-22,"Japan","JPN",39,1,1046,36,11,NA
"260",2020-03-22,"Netherlands","NLD",637,30,3631,136,7,NA
"261",2020-03-22,"Philippines","PHL",150,7,380,25,6,NA
"262",2020-03-22,"Portugal","PRT",260,6,1280,12,0,NA
"263",2020-03-22,"San Marino","SMR",0,6,151,20,4,NA
"264",2020-03-22,"Korea, Republic of","KOR",98,1,8897,104,25,NA
"265",2020-03-22,"Spain","ESP",4946,324,24926,1326,12,NA
"266",2020-03-22,"Sweden","SWE",123,4,1746,20,3,NA
"267",2020-03-22,"Switzerland","CHE",1237,13,6077,56,7,NA
"268",2020-03-22,"Turkey","TUR",277,12,947,21,0,NA
"269",2020-03-22,"United Kingdom","GBR",1035,56,5018,233,9,NA
"270",2020-03-22,"USA","USA",7123,80,26747,340,17,NA
"271",2020-03-23,"Algeria","DZA",8,5,102,15,2,NA
"272",2020-03-23,"Austria","AUT",607,8,3631,16,0,NA
"273",2020-03-23,"Belgium","BEL",586,8,3401,75,4,NA
"274",2020-03-23,"Brazil","BRA",418,7,1546,25,2,NA
"275",2020-03-23,"Canada","CAN",128,2,1430,20,3,NA
"276",2020-03-23,"China","CHN",138,9,81484,3274,61,NA
"277",2020-03-23,"Denmark","DNK",69,0,1395,13,1,NA
"278",2020-03-23,"Ecuador","ECU",257,7,789,14,0,NA
"279",2020-03-23,"Egypt","EGY",9,2,294,10,0,NA
"280",2020-03-23,"France","FRA",1559,112,16018,674,15,NA
"281",2020-03-23,"Germany","DEU",3311,27,24774,94,7,NA
"282",2020-03-23,"Greece","GRC",94,2,624,15,1,NA
"283",2020-03-23,"Indonesia","IDN",64,10,514,48,3,NA
"284",2020-03-23,"Iran, Islamic Republic of","IRN",1028,129,21638,1685,27,NA
"285",2020-03-23,"Iraq","IRQ",19,3,233,20,5,NA
"286",2020-03-23,"Italy","ITA",5560,649,59138,5476,26,NA
"287",2020-03-23,"Japan","JPN",43,5,1089,41,12,NA
"288",2020-03-23,"Malaysia","MYS",123,6,1306,10,0,NA
"289",2020-03-23,"Netherlands","NLD",573,43,4204,179,8,NA
"290",2020-03-23,"Philippines","PHL",0,0,380,25,7,NA
"291",2020-03-23,"Portugal","PRT",320,2,1600,14,1,NA
"292",2020-03-23,"San Marino","SMR",0,0,151,20,5,NA
"293",2020-03-23,"Korea, Republic of","KOR",64,9,8961,113,26,NA
"294",2020-03-23,"Spain","ESP",3646,394,28572,1720,13,NA
"295",2020-03-23,"Sweden","SWE",160,1,1906,21,4,NA
"296",2020-03-23,"Switzerland","CHE",894,4,6971,60,8,NA
"297",2020-03-23,"Turkey","TUR",289,9,1236,30,1,NA
"298",2020-03-23,"United Kingdom","GBR",665,48,5683,281,10,NA
"299",2020-03-23,"USA","USA",8459,131,35206,471,18,NA
"300",2020-03-24,"Algeria","DZA",87,2,189,17,3,NA
"301",2020-03-24,"Austria","AUT",855,9,4486,25,1,NA
"302",2020-03-24,"Belgium","BEL",342,13,3743,88,5,NA
"303",2020-03-24,"Brazil","BRA",345,9,1891,34,3,NA
"304",2020-03-24,"Canada","CAN",216,4,1646,24,4,NA
"305",2020-03-24,"China","CHN",69,7,81553,3281,62,NA
"306",2020-03-24,"Denmark","DNK",65,11,1460,24,2,NA
"307",2020-03-24,"Ecuador","ECU",192,4,981,18,1,NA
"308",2020-03-24,"Egypt","EGY",33,4,327,14,1,NA
"309",2020-03-24,"France","FRA",3838,186,19856,860,16,NA
"310",2020-03-24,"Germany","DEU",4438,32,29212,126,8,NA
"311",2020-03-24,"Greece","GRC",71,2,695,17,2,NA
"312",2020-03-24,"Indonesia","IDN",65,1,579,49,4,NA
"313",2020-03-24,"Iran, Islamic Republic of","IRN",1411,127,23049,1812,28,NA
"314",2020-03-24,"Iraq","IRQ",33,3,266,23,6,NA
"315",2020-03-24,"Italy","ITA",4789,601,63927,6077,27,NA
"316",2020-03-24,"Japan","JPN",39,1,1128,42,13,NA
"317",2020-03-24,"Malaysia","MYS",212,4,1518,14,1,NA
"318",2020-03-24,"Netherlands","NLD",545,34,4749,213,9,NA
"319",2020-03-24,"Philippines","PHL",82,8,462,33,8,NA
"320",2020-03-24,"Portugal","PRT",460,9,2060,23,2,NA
"321",2020-03-24,"San Marino","SMR",36,0,187,20,6,NA
"322",2020-03-24,"Korea, Republic of","KOR",76,7,9037,120,27,NA
"323",2020-03-24,"Spain","ESP",4517,462,33089,2182,14,NA
"324",2020-03-24,"Sweden","SWE",110,4,2016,25,5,NA
"325",2020-03-24,"Switzerland","CHE",1044,6,8015,66,9,NA
"326",2020-03-24,"Turkey","TUR",293,7,1529,37,2,NA
"327",2020-03-24,"United Kingdom","GBR",967,54,6650,335,11,NA
"328",2020-03-24,"USA","USA",11236,119,46442,590,19,NA
"329",2020-03-25,"Algeria","DZA",42,0,231,17,4,NA
"330",2020-03-25,"Austria","AUT",796,5,5282,30,2,NA
"331",2020-03-25,"Belgium","BEL",526,34,4269,122,6,NA
"332",2020-03-25,"Brazil","BRA",310,12,2201,46,4,NA
"333",2020-03-25,"Canada","CAN",313,3,1959,27,5,NA
"334",2020-03-25,"China","CHN",78,4,81631,3285,63,NA
"335",2020-03-25,"Denmark","DNK",131,8,1591,32,3,NA
"336",2020-03-25,"Ecuador","ECU",101,9,1082,27,2,NA
"337",2020-03-25,"Egypt","EGY",39,5,366,19,2,NA
"338",2020-03-25,"France","FRA",2446,240,22302,1100,17,NA
"339",2020-03-25,"Germany","DEU",2342,23,31554,149,9,NA
"340",2020-03-25,"Greece","GRC",48,3,743,20,3,NA
"341",2020-03-25,"Hungary","HUN",39,2,226,10,0,NA
"342",2020-03-25,"Indonesia","IDN",107,6,686,55,5,NA
"343",2020-03-25,"Iran, Islamic Republic of","IRN",1762,122,24811,1934,29,NA
"344",2020-03-25,"Iraq","IRQ",50,4,316,27,7,NA
"345",2020-03-25,"Italy","ITA",5249,743,69176,6820,28,NA
"346",2020-03-25,"Japan","JPN",65,1,1193,43,14,NA
"347",2020-03-25,"Malaysia","MYS",106,1,1624,15,2,NA
"348",2020-03-25,"Netherlands","NLD",811,63,5560,276,10,NA
"349",2020-03-25,"Norway","NOR",195,2,2566,10,0,NA
"350",2020-03-25,"Philippines","PHL",90,2,552,35,9,NA
"351",2020-03-25,"Poland","POL",152,2,901,10,0,NA
"352",2020-03-25,"Portugal","PRT",302,10,2362,33,3,NA
"353",2020-03-25,"Romania","ROU",186,4,762,11,0,NA
"354",2020-03-25,"San Marino","SMR",0,1,187,21,7,NA
"355",2020-03-25,"Korea, Republic of","KOR",100,6,9137,126,28,NA
"356",2020-03-25,"Spain","ESP",6584,514,39673,2696,15,NA
"357",2020-03-25,"Sweden","SWE",256,11,2272,36,6,NA
"358",2020-03-25,"Switzerland","CHE",774,20,8789,86,10,NA
"359",2020-03-25,"Turkey","TUR",343,7,1872,44,3,NA
"360",2020-03-25,"United Kingdom","GBR",1427,87,8077,422,12,NA
"361",2020-03-25,"USA","USA",8789,211,55231,801,20,NA
"362",2020-03-26,"Algeria","DZA",33,0,264,17,5,NA
"363",2020-03-26,"Australia","AUS",376,3,2799,11,0,NA
"364",2020-03-26,"Austria","AUT",606,4,5888,34,3,NA
"365",2020-03-26,"Belgium","BEL",668,56,4937,178,7,NA
"366",2020-03-26,"Brazil","BRA",232,11,2433,57,5,NA
"367",2020-03-26,"Canada","CAN",1426,8,3385,35,6,NA
"368",2020-03-26,"China","CHN",102,6,81733,3291,64,NA
"369",2020-03-26,"Denmark","DNK",133,2,1724,34,4,NA
"370",2020-03-26,"Dominican Republic","DOM",80,4,392,10,0,NA
"371",2020-03-26,"Ecuador","ECU",129,2,1211,29,3,NA
"372",2020-03-26,"Egypt","EGY",76,2,442,21,3,NA
"373",2020-03-26,"France","FRA",2931,231,25233,1331,18,NA
"374",2020-03-26,"Germany","DEU",4954,49,36508,198,10,NA
"375",2020-03-26,"Greece","GRC",78,2,821,22,4,NA
"376",2020-03-26,"Hungary","HUN",35,0,261,10,1,NA
"377",2020-03-26,"India","IND",87,4,649,13,0,NA
"378",2020-03-26,"Indonesia","IDN",104,3,790,58,6,NA
"379",2020-03-26,"Iran, Islamic Republic of","IRN",2206,143,27017,2077,30,NA
"380",2020-03-26,"Iraq","IRQ",30,2,346,29,8,NA
"381",2020-03-26,"Italy","ITA",5210,685,74386,7505,29,NA
"382",2020-03-26,"Japan","JPN",75,2,1268,45,15,NA
"383",2020-03-26,"Malaysia","MYS",172,4,1796,19,3,NA
"384",2020-03-26,"Netherlands","NLD",852,80,6412,356,11,NA
"385",2020-03-26,"Norway","NOR",350,2,2916,12,1,NA
"386",2020-03-26,"Philippines","PHL",84,3,636,38,10,NA
"387",2020-03-26,"Poland","POL",150,4,1051,14,1,NA
"388",2020-03-26,"Portugal","PRT",633,10,2995,43,4,NA
"389",2020-03-26,"Romania","ROU",144,2,906,13,1,NA
"390",2020-03-26,"San Marino","SMR",21,0,208,21,8,NA
"391",2020-03-26,"Korea, Republic of","KOR",104,5,9241,131,29,NA
"392",2020-03-26,"Spain","ESP",7937,738,47610,3434,16,NA
"393",2020-03-26,"Sweden","SWE",238,6,2510,42,7,NA
"394",2020-03-26,"Switzerland","CHE",925,17,9714,103,11,NA
"395",2020-03-26,"Turkey","TUR",561,15,2433,59,4,NA
"396",2020-03-26,"United Kingdom","GBR",1452,41,9529,463,13,NA
"397",2020-03-26,"USA","USA",13963,249,69194,1050,21,NA
