records.dateRep,records.day,records.month,records.year,records.cases,records.deaths,records.countriesAndTerritories,records.geoId,records.countryterritoryCode,records.popData2018,date,iso2,iso3,cname
18/02/2020,18,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-18,DZ,DZA,Algeria
17/02/2020,17,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-17,DZ,DZA,Algeria
16/02/2020,16,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-16,DZ,DZA,Algeria
15/02/2020,15,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-15,DZ,DZA,Algeria
14/02/2020,14,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-14,DZ,DZA,Algeria
13/02/2020,13,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-13,DZ,DZA,Algeria
12/02/2020,12,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-12,DZ,DZA,Algeria
11/02/2020,11,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-11,DZ,DZA,Algeria
10/02/2020,10,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-10,DZ,DZA,Algeria
09/02/2020,9,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-09,DZ,DZA,Algeria
08/02/2020,8,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-08,DZ,DZA,Algeria
07/02/2020,7,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-07,DZ,DZA,Algeria
06/02/2020,6,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-06,DZ,DZA,Algeria
05/02/2020,5,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-05,DZ,DZA,Algeria
04/02/2020,4,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-04,DZ,DZA,Algeria
03/02/2020,3,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-03,DZ,DZA,Algeria
02/02/2020,2,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-02,DZ,DZA,Algeria
